iter	RMSE
239	0.9685277631
240	0.968340443
241	0.9681969289
242	0.9680054811
243	0.9679736272
244	0.9678260526
245	0.9675959835
246	0.9675108071
247	0.9674689787
248	0.9673744414
249	0.9672188588
250	0.9671118401
251	0.9669055927
252	0.9668253083
253	0.9667015072
254	0.9665269212
255	0.9663336431
256	0.9662473591
257	0.9661290921
258	0.9659496234
259	0.9658858912
260	0.9657162013
261	0.9654933584
262	0.9653547785
263	0.9651295482
264	0.9648996341
265	0.9648608186
266	0.9647776588
267	0.9646315203
268	0.9645179748
269	0.9643869676
270	0.9642800429
271	0.9641510384
272	0.9640115598
273	0.9638901168
274	0.9638161801
275	0.9638022611
276	0.9636451679
277	0.9635375799
278	0.9633908507
279	0.9632901868
280	0.9632320789
281	0.9630480077
282	0.9628263097
283	0.9626703464
284	0.9625328028
285	0.9624014828
286	0.9622577015
287	0.9621641261
288	0.9620837535
289	0.9619899866
290	0.9619153417
291	0.9619076448
292	0.9618201947
293	0.9618055704
294	0.9617293737
295	0.9615169132
296	0.9613092413
297	0.9612131041
298	0.9610646591
299	0.960957342
300	0.9608015079
301	0.9607148117
302	0.9605842309
303	0.9604667533
304	0.960231751
305	0.9600751737
306	0.9599755721
307	0.9598687245
308	0.9597624046
309	0.959683337
310	0.9595687366
311	0.9595024591
312	0.9593475606
313	0.9592625255
314	0.9592060495
315	0.959104696
316	0.9590337896
317	0.9589483352
318	0.9588790738
319	0.9588055846
320	0.9587858722
321	0.9586334488
322	0.9584726127
323	0.9584412047
324	0.9583002541
325	0.9581002671
326	0.9579244025
327	0.9578425801
328	0.9577036129
329	0.9575243968
330	0.9574416196
331	0.9573269326
332	0.9571832593
333	0.9570080347
334	0.9569535722
335	0.9568602284
336	0.9568423076
337	0.9567270693
338	0.9565918979
339	0.9564935673
340	0.9563942548
341	0.9563540145
342	0.956259569
343	0.9561491501
344	0.9559951455
345	0.9559126006
346	0.9557705101
347	0.955736912
348	0.9556623
349	0.9556175605
350	0.9555603447
351	0.9554728972
352	0.9553599202
353	0.9552890246
354	0.9551934355
355	0.9550824214
356	0.9549287319
357	0.9548498032
358	0.9547735486
359	0.9546554391
360	0.9545735396
361	0.9544265217
362	0.9543350973
363	0.9541746751
364	0.954051541
365	0.9539498937
366	0.9538840694
367	0.9537801535
368	0.953615945
369	0.9535087415
370	0.9534329385
371	0.9533026513
372	0.9532406223
373	0.9531432561
374	0.9530369178
375	0.9528988127
376	0.9527869149
377	0.952688557
378	0.9526633059
379	0.9525961412
380	0.9524559343
381	0.9523247682
382	0.9522299392
383	0.9520893538
384	0.9520323287
385	0.9518791911
386	0.9518047002
387	0.951635545
388	0.9515063436
389	0.9514555989
390	0.9514166106
391	0.951341481
392	0.9512486146
393	0.9512176026
394	0.9511348537
395	0.9510133141
396	0.9509444488
397	0.9508188955
398	0.950715832
399	0.9505790261
400	0.9505138099
401	0.9503754327
402	0.9502423757
403	0.9501295421
404	0.9500367981
405	0.9499452734
406	0.9498517463
407	0.9496957734
408	0.9496554753
409	0.9494987272
410	0.9494140667
411	0.9492917028
412	0.9491462316
413	0.9491048442
414	0.9490439445
415	0.9489038024
416	0.9488442451
417	0.9487360708
418	0.9486852278
419	0.9485487348
420	0.9484736054
421	0.9483480214
422	0.9482193499
423	0.9481251127
424	0.9480418529
425	0.9479384703
426	0.947852585
427	0.9477737464
428	0.9476478563
429	0.9476008592
430	0.9475281383
431	0.947438426
432	0.9473462301
433	0.9472088103
434	0.9470682484
435	0.9469723659
436	0.946846226
437	0.946774007
438	0.9465848824
439	0.9464636921
440	0.9464598291
441	0.9463405066
442	0.946266791
443	0.9461606115
444	0.9460319487
445	0.9458643757
446	0.9457956339
447	0.9457141121
448	0.9455664808
449	0.9454770616
450	0.9453955692
451	0.9452605611
452	0.9451959097
453	0.9451107991
454	0.9450239969
455	0.9448980542
456	0.9448149627
457	0.9447141503
458	0.9445108763
459	0.9444353873
460	0.9443470803
461	0.9442367664
462	0.944185396
463	0.9441126214
464	0.9439982655
465	0.9438779808
466	0.9437814226
467	0.9436923672
468	0.9435942864
469	0.9435308721
470	0.9434745952
471	0.9434276366
472	0.9433736451
473	0.9432697884
474	0.9431991754
475	0.9429958512
476	0.9428701124
477	0.9427888548
478	0.9426965323
479	0.942500062
480	0.9423739528
481	0.9422716385
482	0.9421166238
483	0.941945962
484	0.9418788903
485	0.9418393988
486	0.9417010183
487	0.9415891599
488	0.9414278508
489	0.9413627535
490	0.9411975093
491	0.9411529335
492	0.9410858933
493	0.9409697649
494	0.9408195646
495	0.9406816033
496	0.9406210656
497	0.9405332169
498	0.9404727292
499	0.9403335113
500	0.9402636929
501	0.9401684799
502	0.940074314
503	0.9399617209
504	0.9398603953
505	0.9397365635
506	0.9396331765
507	0.939509323
508	0.9394047329
509	0.9392984135
510	0.9392415039
511	0.9391902939
512	0.9390355323
513	0.9389194737
514	0.9388488534
515	0.9386497002
516	0.93859728
517	0.938471028
518	0.9384129723
519	0.9383639063
520	0.9382411339
521	0.9381127468
522	0.9380187682
523	0.9379279575
524	0.9378549628
525	0.9377653329
526	0.9376304398
527	0.9375109504
528	0.9373674346
529	0.937360166
530	0.9372987926
531	0.9372271382
532	0.9372118849
533	0.9371641049
534	0.9370533221
535	0.9369912315
536	0.9368798239
537	0.9367686409
538	0.9366273169
539	0.9364822279
540	0.9363776409
541	0.9363268848
542	0.9362365018
543	0.9362198225
544	0.9360949698
545	0.9359862089
546	0.9359162956
547	0.9357890232
548	0.9357209476
549	0.9356562302
550	0.9356130237
551	0.935547326
552	0.9354633406
553	0.9353675389
554	0.9353016849
555	0.9352186618
556	0.9351684246
557	0.9350827388
558	0.9349353169
559	0.9347944411
560	0.9346756106
561	0.9345518917
562	0.9344258561
563	0.9343622166
564	0.9343006688
565	0.934264244
566	0.9341767255
567	0.93403675
568	0.9340018736
569	0.9338859833
570	0.9337193749
571	0.9336265528
572	0.9335936254
573	0.9334450613
574	0.9334114939
575	0.9333518095
576	0.9332439198
577	0.9331834605
578	0.9331765756
579	0.9330809288
580	0.9329626232
581	0.9328611214
582	0.9328422087
583	0.9327825553
584	0.9326702355
585	0.9325887453
586	0.9325137936
587	0.9323896474
588	0.9322495629
589	0.9321820128
590	0.9320994356
591	0.9319920426
592	0.9319447064
593	0.9318381879
594	0.9317380532
595	0.9315522331
596	0.9314061073
597	0.9313312009
598	0.931266848
599	0.9311473532
600	0.9310615726
601	0.9309215774
602	0.9308594176
603	0.9307976532
604	0.9307215211
605	0.9306007031
606	0.9304227467
607	0.9303013899
608	0.9302306653
609	0.9300757002
610	0.930023162
611	0.929989441
612	0.9299639513
613	0.9298661974
614	0.9298054877
615	0.9297167025
616	0.9296265208
617	0.9295601337
618	0.9294438859
619	0.9293510986
620	0.9292031103
621	0.9291033288
622	0.9290085049
623	0.9289142899
624	0.9288366241
625	0.9287552856
626	0.9286320749
627	0.9285786389
628	0.9284848522
629	0.9283807867
630	0.9283000595
631	0.9282282698
632	0.9282108006
633	0.9281383842
634	0.9280485685
635	0.9279764197
636	0.9279203049
637	0.9278766662
638	0.9277715631
639	0.9276165914
640	0.927512273
641	0.9274393097
642	0.9273196968
643	0.9272201371
644	0.9271745726
645	0.9271398937
646	0.9270525526
647	0.9269660627
648	0.9268384731
649	0.9267594227
650	0.9267329037
651	0.9266516898
652	0.9265500154
653	0.9264398152
654	0.9263775508
655	0.9262914164
656	0.9262356642
657	0.9261911948
658	0.9261498818
659	0.9260237397
660	0.9259826144
661	0.9258701353
662	0.9258118093
663	0.9257254786
664	0.9256474966
665	0.9255641078
666	0.925451016
667	0.9253914699
668	0.9252772611
669	0.9251583898
670	0.9250398722
671	0.9249914175
672	0.9248799305
673	0.9248273922
674	0.924700823
675	0.9246072202
676	0.9245555295
677	0.9244226471
678	0.9243446719
679	0.9242226469
680	0.924147889
681	0.924022962
682	0.9240087324
683	0.9239213838
684	0.9238857491
685	0.9238043612
686	0.9236524609
687	0.9236350323
688	0.9235137595
689	0.9234432339
690	0.9233600892
691	0.923250253
692	0.9232065939
693	0.9231555313
694	0.9230593929
695	0.922979342
696	0.9228834272
697	0.9228029998
698	0.922676055
699	0.9226398678
700	0.9225857979
701	0.9224544572
702	0.9223688259
703	0.9222794071
704	0.9221608284
705	0.9221019722
706	0.9219913455
707	0.9218721043
708	0.9217771152
709	0.9217451856
710	0.9216479643
711	0.9215952114
712	0.9215581822
713	0.9214232676
714	0.9214073432
715	0.9212784668
716	0.9212312619
717	0.92113788
718	0.9210488901
719	0.9209738323
720	0.9209046782
721	0.9208059748
722	0.9207600772
723	0.9207257215
724	0.9205718399
725	0.9204913421
726	0.9203864801
727	0.9203571905
728	0.9202392005
729	0.9201229656
730	0.9200215183
731	0.9199704197
732	0.9199401458
733	0.9198586522
734	0.9197925737
735	0.9197057169
736	0.9196288426
737	0.9195319043
738	0.919529172
739	0.9194294134
740	0.9193688371
741	0.9192646412
742	0.9191872294
743	0.9191350325
744	0.9190431326
745	0.9189820571
746	0.9188421323
747	0.9187980734
748	0.9186469619
749	0.9185383991
750	0.9184281739
751	0.9182382385
752	0.9181190907
753	0.9180267337
754	0.9179326583
755	0.9179097281
756	0.9178313802
757	0.9178125802
758	0.9177350473
759	0.9176543718
760	0.9175625876
761	0.9174684262
762	0.9174677965
763	0.9174097864
764	0.9173584316
765	0.9172602644
766	0.917185481
767	0.9170431594
768	0.9169841972
769	0.916925251
770	0.9168243183
771	0.9167504341
772	0.9166842763
773	0.916574518
774	0.9165043651
775	0.916383382
776	0.916290939
777	0.91620803
778	0.9161732132
779	0.9161210788
780	0.9160454014
781	0.91599467
782	0.9158943559
783	0.9157624407
784	0.9156832471
785	0.9155255576
786	0.9154450122
787	0.9153632681
788	0.9152840747
789	0.9152668455
790	0.9151696026
791	0.9149977535
792	0.9149162721
793	0.914838972
794	0.9148075087
795	0.9147223513
796	0.9146312702
797	0.9145584961
798	0.9144692458
799	0.9144031963
800	0.9143677283
801	0.9143672312
802	0.914236982
803	0.9141648986
804	0.914113284
805	0.9140467967
806	0.9139733934
807	0.9139363409
808	0.9137778369
809	0.9136696653
810	0.9135672647
811	0.9135322704
812	0.9133798821
813	0.9133473175
814	0.9132925232
815	0.9132088551
816	0.9130735234
817	0.913016605
818	0.9129863098
819	0.9128850793
820	0.9128092882
821	0.9127801237
822	0.9127378673
823	0.9126626751
824	0.9125463526
825	0.912529592
826	0.9123981938
827	0.9122923665
828	0.9122508823
829	0.9121647255
830	0.9120593568
831	0.9119902077
832	0.9119020784
833	0.9118065352
834	0.9117533928
835	0.9117046418
836	0.9116300217
837	0.9115538379
838	0.9114885844
839	0.9114253403
840	0.9113601039
841	0.9112612579
842	0.9111305907
843	0.9110010854
844	0.9109792713
845	0.9108901525
846	0.9108763197
847	0.9108053196
848	0.9107492418
849	0.9106976928
850	0.9106207965
851	0.9105102789
852	0.9104344084
853	0.9103950854
854	0.9102975008
855	0.9102057881
856	0.9100953841
857	0.9099880878
858	0.9099027638
859	0.9098288858
860	0.9097351287
861	0.9096051561
862	0.9095926891
863	0.9095385448
864	0.9095170752
865	0.9094074465
866	0.9093541604
867	0.9093052339
868	0.9091812062
869	0.9090847857
870	0.9090096161
871	0.908891754
872	0.9088273306
873	0.9086608124
874	0.9086006871
875	0.9085297414
876	0.9084640344
877	0.9083563879
878	0.9083459259
879	0.9082738832
880	0.9081473171
881	0.9080522222
882	0.9080145033
883	0.9079476528
884	0.907910831
885	0.9078730551
886	0.9077960558
887	0.9077306379
888	0.9076674377
889	0.9075239607
890	0.907522568
891	0.9074719778
892	0.9074166152
893	0.9073208622
894	0.907255119
895	0.9072043296
896	0.9071618814
897	0.9070846309
898	0.9069635916
899	0.9069373234
900	0.9068815808
901	0.9068803841
902	0.9068272723
903	0.9067789741
904	0.9067231691
905	0.9066452938
906	0.9066284663
907	0.9065223166
908	0.9063832287
909	0.906249863
910	0.9061612867
911	0.9061054887
912	0.905952313
913	0.9058373264
914	0.9057802466
915	0.9056870981
916	0.9056149867
917	0.9056044237
918	0.9055449449
919	0.9054413668
920	0.9053612174
921	0.9052813432
922	0.9051850705
923	0.905138759
924	0.9050733522
925	0.9049563881
926	0.9049038421
927	0.9047954291
928	0.9047424928
929	0.9047375742
930	0.904665846
931	0.9046046223
932	0.9045284375
933	0.9044630532
934	0.904356233
935	0.9042897687
936	0.9042031895
937	0.904202421
938	0.904140445
939	0.9041013777
940	0.9040132234
941	0.9039518285
942	0.9038572236
943	0.9037769204
944	0.9037162505
945	0.9036444099
946	0.903572091
947	0.9035026705
948	0.9033833414
949	0.9033032512
950	0.903220308
951	0.9031221502
952	0.9030594678
953	0.9029928774
954	0.9028886847
955	0.90282117
956	0.902742614
957	0.9026831179
958	0.9026152412
959	0.9025204686
960	0.9024800631
961	0.9024525619
962	0.9023612383
963	0.9022475967
964	0.9021412294
965	0.9020534224
966	0.9019755052
967	0.9019686839
968	0.9018674458
969	0.9017309519
970	0.9016559958
971	0.9015648257
972	0.9014318141
973	0.9013287178
974	0.9012887474
975	0.9012352668
976	0.901115103
977	0.9010515429
978	0.900977166
979	0.9008822812
980	0.9008437596
981	0.9007552019
982	0.9006757278
983	0.900599059
984	0.9005481635
985	0.9005053757
986	0.9004181492
987	0.9003265805
988	0.900276921
989	0.9002339695
990	0.9001444843
991	0.9000707281
992	0.8999588312
993	0.8999050963
994	0.8998149902
995	0.8997490395
996	0.8996814462
997	0.8996105936
998	0.8995117865
999	0.8994813442
